FULL_NAME,AST,BLK,DREB,FG3A,FG3M,FG3_PCT,FGA,FGM,FG_PCT,FTA,FTM,FT_PCT,GP,GS,MIN,OREB,PF,PTS,REB,STL,TOV,FIRST_NAME,LAST_NAME,FULL_NAME_LOWER,FIRST_NAME_LOWER,LAST_NAME_LOWER,IS_ACTIVE,RETIREMENT_YEAR,ALL_STAR_COUNT,name_key,MVP_COUNT,IS_MVP,ALL_NBA_TOTAL,ALL_NBA_FIRST,ALL_NBA_SECOND,ALL_NBA_THIRD,IS_ALL_NBA,ALL_DEF_TOTAL,ALL_DEF_FIRST,ALL_DEF_SECOND,IS_ALL_DEF,full_name_lower,Finals Played,Finals Won,Is Champion,Is Hall of Famer
Alaa Abdelnaby,14,12,95,1,0,0.0,216,109,0.45,52,37,0.6,43,12,557,50,86,255,144,12,43,Alaa,Abdelnaby,alaa abdelnaby,alaa,abdelnaby,False,1980.0,0,alaa abdelnaby,0,0,0,0,0,0,0,0,0,0,0,alaa abdelnaby,0,0,0,0
Alex Abrines,29,7,66,198,73,0.36,263,102,0.38,36,32,0.89,58,5,926,16,97,308,83,31,24,Alex,Abrines,alex abrines,alex,abrines,False,2000.0,0,alex abrines,0,0,0,0,0,0,0,0,0,0,0,alex abrines,0,0,0,0
Shareef Abdur-Rahim,163,48,344,40,12,0.27,898,424,0.45,384,313,0.83,65,54,2255,147,182,1172,491,63,166,Shareef,Abdur-Rahim,shareef abdur-rahim,shareef,abdur-rahim,False,1990.0,1,shareef abdur rahim,0,0,0,0,0,0,0,0,0,0,0,shareef abdur-rahim,0,0,0,0
Tariq Abdul-Wahad,39,12,72,10,2,0.26,252,105,0.37,76,54,0.62,32,21,683,43,69,266,115,26,44,Tariq,Abdul-Wahad,tariq abdul-wahad,tariq,abdul-wahad,False,1990.0,0,tariq abdul wahad,0,0,0,0,0,0,0,0,0,0,0,tariq abdul-wahad,0,0,0,0
Mahmoud Abdul-Rauf,231,5,96,149,53,0.32,883,390,0.44,129,117,0.89,65,37,1736,24,123,950,121,54,107,Mahmoud,Abdul-Rauf,mahmoud abdul-rauf,mahmoud,abdul-rauf,False,2000.0,0,mahmoud abdul rauf,0,0,0,0,0,0,0,0,0,0,0,mahmoud abdul-rauf,0,0,0,0
Alaa Abdelnaby,14,12,95,1,0,0.0,216,109,0.45,52,37,0.6,43,12,557,50,86,255,144,12,43,Alaa,Abdelnaby,alaa abdelnaby,alaa,abdelnaby,False,1980.0,0,alaa abdelnaby,0,0,0,0,0,0,0,0,0,0,0,alaa abdelnaby,0,0,0,0
Alex Abrines,29,7,66,198,73,0.36,263,102,0.38,36,32,0.89,58,5,926,16,97,308,83,31,24,Alex,Abrines,alex abrines,alex,abrines,False,2000.0,0,alex abrines,0,0,0,0,0,0,0,0,0,0,0,alex abrines,0,0,0,0
Shareef Abdur-Rahim,163,48,344,40,12,0.27,898,424,0.45,384,313,0.83,65,54,2255,147,182,1172,491,63,166,Shareef,Abdur-Rahim,shareef abdur-rahim,shareef,abdur-rahim,False,1990.0,1,shareef abdur rahim,0,0,0,0,0,0,0,0,0,0,0,shareef abdur-rahim,0,0,0,0
Tariq Abdul-Wahad,39,12,72,10,2,0.26,252,105,0.37,76,54,0.62,32,21,683,43,69,266,115,26,44,Tariq,Abdul-Wahad,tariq abdul-wahad,tariq,abdul-wahad,False,1990.0,0,tariq abdul wahad,0,0,0,0,0,0,0,0,0,0,0,tariq abdul-wahad,0,0,0,0
Mahmoud Abdul-Rauf,231,5,96,149,53,0.32,883,390,0.44,129,117,0.89,65,37,1736,24,123,950,121,54,107,Mahmoud,Abdul-Rauf,mahmoud abdul-rauf,mahmoud,abdul-rauf,False,2000.0,0,mahmoud abdul rauf,0,0,0,0,0,0,0,0,0,0,0,mahmoud abdul-rauf,0,0,0,0
Alaa Abdelnaby,14,12,95,1,0,0.0,216,109,0.45,52,37,0.6,43,12,557,50,86,255,144,12,43,Alaa,Abdelnaby,alaa abdelnaby,alaa,abdelnaby,False,1980.0,0,alaa abdelnaby,0,0,0,0,0,0,0,0,0,0,0,alaa abdelnaby,0,0,0,0
Alex Abrines,29,7,66,198,73,0.36,263,102,0.38,36,32,0.89,58,5,926,16,97,308,83,31,24,Alex,Abrines,alex abrines,alex,abrines,False,2000.0,0,alex abrines,0,0,0,0,0,0,0,0,0,0,0,alex abrines,0,0,0,0
Shareef Abdur-Rahim,163,48,344,40,12,0.27,898,424,0.45,384,313,0.83,65,54,2255,147,182,1172,491,63,166,Shareef,Abdur-Rahim,shareef abdur-rahim,shareef,abdur-rahim,False,1990.0,1,shareef abdur rahim,0,0,0,0,0,0,0,0,0,0,0,shareef abdur-rahim,0,0,0,0
Tariq Abdul-Wahad,39,12,72,10,2,0.26,252,105,0.37,76,54,0.62,32,21,683,43,69,266,115,26,44,Tariq,Abdul-Wahad,tariq abdul-wahad,tariq,abdul-wahad,False,1990.0,0,tariq abdul wahad,0,0,0,0,0,0,0,0,0,0,0,tariq abdul-wahad,0,0,0,0
Mahmoud Abdul-Rauf,231,5,96,149,53,0.32,883,390,0.44,129,117,0.89,65,37,1736,24,123,950,121,54,107,Mahmoud,Abdul-Rauf,mahmoud abdul-rauf,mahmoud,abdul-rauf,False,2000.0,0,mahmoud abdul rauf,0,0,0,0,0,0,0,0,0,0,0,mahmoud abdul-rauf,0,0,0,0
Alaa Abdelnaby,14,12,95,1,0,0.0,216,109,0.45,52,37,0.6,43,12,557,50,86,255,144,12,43,Alaa,Abdelnaby,alaa abdelnaby,alaa,abdelnaby,False,1980.0,0,alaa abdelnaby,0,0,0,0,0,0,0,0,0,0,0,alaa abdelnaby,0,0,0,0
Mahmoud Abdul-Rauf,231,5,96,149,53,0.32,883,390,0.44,129,117,0.89,65,37,1736,24,123,950,121,54,107,Mahmoud,Abdul-Rauf,mahmoud abdul-rauf,mahmoud,abdul-rauf,False,2000.0,0,mahmoud abdul rauf,0,0,0,0,0,0,0,0,0,0,0,mahmoud abdul-rauf,0,0,0,0
